subset,layer,segment,local_models,median_events_per_model,total_points,median_rmse_mm,mean_rmse_mm,median_mae_mm,mean_mae_mm,median_bias_mm,mean_bias_mm
clean_stageII_48h_site_balanced,moisture_16in,post3_late_storage,2,18.5,564,0.6829956547600102,0.6829956547600102,0.43019809325934233,0.43019809325934233,0.0813326196248688,0.0813326196248688
clean_stageII_48h_site_balanced,moisture_16in,post3_mid_storage,2,9.5,175,0.98411776094283,0.98411776094283,0.7672256889154273,0.7672256889154273,0.07426122845414221,0.07426122845414221
clean_stageII_48h_site_balanced,moisture_20in,early_0_3h,1,30.0,360,0.8446662542454313,0.8446662542454313,0.6239773793628138,0.6239773793628138,-0.12090584392416291,-0.12090584392416291
clean_stageII_48h_site_balanced,moisture_20in,post3_late_storage,1,30.0,325,0.1338813068581768,0.1338813068581768,0.11308607038023646,0.11308607038023646,-0.006060868633637284,-0.006060868633637284
clean_stageII_48h_site_balanced,moisture_4in,early_0_3h,30,30.0,9324,0.5687663206733184,0.5788148763920432,0.32261397906539696,0.37332603033238493,0.04373085855141982,0.05393421882140512
clean_stageII_48h_site_balanced,moisture_4in,post3_late_storage,30,30.0,13621,0.3330127269508806,0.5889271580961141,0.24413469941481086,0.3005865666507611,-0.01701891161996866,-0.0018232863036502863
clean_stageII_48h_site_balanced,moisture_4in,post3_mid_storage,28,25.5,9596,0.3901241178041849,0.4919678820879751,0.2804380471183925,0.3368202696395763,0.003071401211751499,-0.026095980839263417
clean_stageII_48h_site_balanced,moisture_8in,early_0_3h,10,16.0,1836,0.6261903387744516,0.6300312784136468,0.4276347584531584,0.43301596856381075,0.058975097533001244,0.05090520919758601
clean_stageII_48h_site_balanced,moisture_8in,post3_late_storage,10,16.0,3652,0.357097503115373,0.415169442483079,0.25404045809244374,0.2696847637378258,-0.023704057986885123,-0.036323809852506606
clean_stageII_48h_site_balanced,moisture_8in,post3_mid_storage,8,13.5,2410,0.6293184290255175,0.640826527478182,0.3831863659325708,0.4295578223384281,-0.026599025420045795,-0.08680483579921998
