subset,layer,segment,events,sites,points,ccc,rmse_mm,mae_mm,bias_mm,dynamic_mae_mm_step
clean_48h,moisture_16in,post3_mid_storage,36,2,353,0.9874704930802226,0.9039834486593421,0.49044515000237787,0.07704973035400549,0.08455361335390774
clean_48h,moisture_20in,early_0_3h,221,4,1718,0.7697595859788908,2.786037932532356,1.6371182177238528,0.4613410044557373,0.1511015203748057
clean_48h,moisture_20in,post3_late_storage,45,2,427,0.9854081642016654,0.41527424414302305,0.2173803471094066,0.007581861814394738,0.04748189189048873
clean_48h,moisture_4in,early_0_3h,2578,35,28632,0.952758411975402,1.9894212280932766,1.1218760802827465,0.08100913790690194,0.08120813275765051
clean_48h,moisture_4in,post3_late_storage,1905,30,29777,0.9895125854135169,0.9447269492565724,0.39902485969227114,0.03579124579027367,0.027364515925110463
clean_48h,moisture_4in,post3_mid_storage,1566,30,27488,0.9854297981297901,1.0988382492791535,0.5354701401295986,-0.009803230890953767,0.04217276591361745
clean_48h,moisture_8in,early_0_3h,401,15,4513,0.9894528086747396,0.9350624251459337,0.49075830920615626,0.09572318410924784,0.08650995865438664
clean_48h,moisture_8in,post3_late_storage,254,13,4843,0.9953835850043086,0.6672409151096358,0.3066933292715667,-0.017432706794425976,0.03533579110609665
clean_48h,moisture_8in,post3_mid_storage,169,9,3436,0.9947279901200033,0.64526395494028,0.4484002485348687,-0.06829612744016463,0.049586845265151135
clean_stageII_48h,moisture_12in,early_0_3h,56,3,672,0.9934415710292761,0.6625685382872205,0.4529961454346531,0.07875653890399972,0.09312280327378776
clean_stageII_48h,moisture_12in,post3_late_storage,55,3,982,0.9918656730729108,0.6769499340259136,0.37790039556938304,-0.03069140673973104,0.04693879145160313
clean_stageII_48h,moisture_12in,post3_mid_storage,37,2,546,0.9875125901802543,0.5964975124644003,0.3941809631694091,0.015725661523318085,0.06987132287061384
clean_stageII_48h,moisture_16in,early_0_3h,37,2,444,0.9858376997180418,0.8632269514954304,0.6457661296023802,-0.0024510351759882074,0.15496031886277498
clean_stageII_48h,moisture_16in,post3_late_storage,37,2,564,0.9904921626500179,0.639245911456062,0.3286934143202523,0.030940430197729008,0.05185462906658572
clean_stageII_48h,moisture_16in,post3_mid_storage,19,2,175,0.9849791165709763,1.0529679232787321,0.7506627482845516,0.0710619917423905,0.13356241247816486
clean_stageII_48h,moisture_20in,early_0_3h,31,1,372,0.7181739448684944,0.8636520583002589,0.6219537648683544,0.03559559094488279,0.12368512732386418
clean_stageII_48h,moisture_20in,post3_late_storage,31,1,337,0.9948667328989673,0.11894223883148185,0.09910128457882451,-0.0038920393872543917,0.02321661764571208
clean_stageII_48h,moisture_4in,early_0_3h,1430,30,17127,0.9789381288310117,1.3911287693322991,0.6546692456911811,0.2001526834020246,0.06800921493465958
clean_stageII_48h,moisture_4in,post3_late_storage,1432,30,24488,0.9926135827024396,0.786107551539871,0.3789872274805792,-0.007905573113262792,0.025483398125118305
clean_stageII_48h,moisture_4in,post3_mid_storage,1194,28,17823,0.9901163226691548,0.9151228378744365,0.5115123073342746,-0.044652154259042315,0.04722434734354903
clean_stageII_48h,moisture_8in,early_0_3h,153,10,1836,0.9950630235656424,0.6606062909454852,0.4377645122422454,0.05055663713190124,0.09271051133925903
clean_stageII_48h,moisture_8in,post3_late_storage,153,10,3652,0.9972090766666878,0.5068326071404325,0.29770385440601027,-0.046626741625928364,0.03301553326626709
clean_stageII_48h,moisture_8in,post3_mid_storage,114,8,2410,0.9944289465572065,0.7167721611397472,0.4646910107186808,-0.1075378992104234,0.05169907692942013
clean_stageII_48h_no405,moisture_12in,early_0_3h,30,2,360,0.9876757100804556,0.7619609328471209,0.5215304964314554,0.09880940856076025,0.11921547902444367
clean_stageII_48h_no405,moisture_12in,post3_late_storage,30,2,597,0.9923197685241578,0.5837905854455794,0.3137219313422189,0.013528041591697362,0.044251627936451494
clean_stageII_48h_no405,moisture_12in,post3_mid_storage,16,1,184,0.9839810764804412,0.5424588591674716,0.26410409213521246,0.05531916741477349,0.04352871780277652
