subset,site_id,layer,segment,events,points,ccc,rmse_mm,mae_mm,bias_mm
all_events,260,moisture_4in,post3_mid_storage,126,1991,0.9725105273750138,1.5861131863045153,0.7635117169315776,0.1459055562037366
all_events,260,moisture_8in,early_0_3h,65,759,0.879795536226946,2.0663612756563614,1.0554783332283801,0.4328373729594629
all_events,260,moisture_8in,post3_late_storage,59,1114,0.9963615255637005,0.41891199881746566,0.2945664171961652,-0.021325277419821168
all_events,260,moisture_8in,post3_mid_storage,54,1040,0.9898521331839857,0.6214459000517323,0.44877127292803015,-0.006811090474830533
all_events,270,moisture_16in,early_0_3h,10,101,0.9459120258904062,0.4389813419097657,0.3312648822188443,0.03253996788397602
all_events,270,moisture_20in,early_0_3h,28,267,0.9445384576247071,1.061174468898276,0.8661256885173388,-0.05379912098537284
all_events,270,moisture_20in,post3_late_storage,10,134,0.912341249730623,0.6317967394924597,0.3663945851822656,0.08332164088708824
all_events,270,moisture_4in,early_0_3h,187,2176,0.7085957803679832,4.233606254218068,2.6799015951742766,1.6232979142973714
all_events,270,moisture_4in,post3_late_storage,178,2223,0.8640671016524683,2.731805595799724,0.8160880415598883,0.6364274987978069
all_events,270,moisture_4in,post3_mid_storage,158,2217,0.8931205439508378,2.490188995578425,1.0921969497104373,0.49490375921148333
all_events,270,moisture_8in,early_0_3h,40,466,0.9919369007918403,0.49340923281249904,0.3395978840981665,0.11233429184572112
all_events,270,moisture_8in,post3_late_storage,34,500,0.9954074683537791,0.30882702441999954,0.23765359613008433,-0.01777860064372593
all_events,270,moisture_8in,post3_mid_storage,29,661,0.9770515444404635,0.664455287392758,0.4935425901753942,-0.10966379970255598
all_events,275,moisture_4in,early_0_3h,80,915,0.8490408772522275,1.4206285365557227,0.944742987650485,0.4173864267785662
all_events,275,moisture_4in,post3_late_storage,73,1134,0.9130675012583177,0.8934010575552613,0.38286318365253585,0.11759650976204535
all_events,275,moisture_4in,post3_mid_storage,66,1384,0.9622783642902898,0.6345765863904079,0.4394393499005578,0.023845472923426227
all_events,275,moisture_8in,early_0_3h,9,106,0.9587785669520688,0.6776107863868005,0.4675910108863127,0.006847342986700129
all_events,280,moisture_4in,early_0_3h,44,503,0.8749089586629064,0.7650997128607245,0.5801497543366717,0.06230228596399951
all_events,280,moisture_4in,post3_late_storage,37,500,0.9887011058808085,0.22171320745005252,0.14244428791819486,0.02581136504266202
all_events,280,moisture_4in,post3_mid_storage,33,491,0.14628489466809055,1.4464100358198264,1.128157685746602,-1.0019815502266138
all_events,290,moisture_4in,early_0_3h,37,416,0.9554225958565497,0.4926617362351924,0.3856020437909035,0.022703826037424088
all_events,290,moisture_4in,post3_late_storage,28,611,0.8818129547738678,0.5312215442034033,0.3893307149165048,-0.11067352845602463
all_events,290,moisture_4in,post3_mid_storage,17,476,0.9460292547397506,0.3022596874374104,0.2071798579237482,-0.06503072339197138
all_events,290,moisture_8in,early_0_3h,13,145,0.9572922246065009,0.2417088383751755,0.16764491814978702,0.023170324901275283
all_events,290,moisture_8in,post3_late_storage,11,361,0.9723080861854628,0.12066658588880341,0.06628340796815954,-0.012573451579525333
all_events,290,moisture_8in,post3_mid_storage,10,290,0.9885352274000712,0.09670606977777021,0.0642742703405632,-0.0004316609570474949
all_events,303,moisture_12in,early_0_3h,45,494,0.6230068599168217,5.412027430474114,3.6606537142627693,0.4335064740991095
all_events,303,moisture_12in,post3_late_storage,30,744,0.9951169876270339,0.5309370991719966,0.2392332251112551,0.023889573771853155
all_events,303,moisture_12in,post3_mid_storage,19,288,0.9929411152773503,0.7921877247027789,0.4496665607978415,0.012484283021223464
all_events,303,moisture_16in,early_0_3h,13,151,0.9795989019714786,1.0353869322420597,0.751656826866749,-0.010980942651409588
all_events,303,moisture_16in,post3_late_storage,9,399,0.6370765137516757,0.5899808542570993,0.39020041831191565,-0.3256983447946887
all_events,303,moisture_4in,early_0_3h,261,2760,0.36068175130614855,4.525474353208855,3.027833041280704,-1.9882667257571036
all_events,303,moisture_4in,post3_late_storage,146,3334,0.9934442711388469,0.4241044179026791,0.27057905830089257,-0.03419630009703593
all_events,303,moisture_4in,post3_mid_storage,112,2433,0.9855191158937979,0.6463962923270152,0.38931091034931553,-0.04365948008153363
all_events,303,moisture_8in,early_0_3h,125,1360,0.6387772347709382,3.8304691019160657,1.9808079691136493,0.15761033371341152
all_events,303,moisture_8in,post3_late_storage,71,1682,0.9964754591886504,0.39784188715260665,0.24332311151375252,-0.03419758330125639
all_events,303,moisture_8in,post3_mid_storage,61,1158,0.9890493045635317,0.7078623870147305,0.5711412756859624,-0.020590347656397466
all_events,311,moisture_4in,early_0_3h,172,2044,0.9512579459740733,0.7586627243417923,0.4293323735917934,0.07375525374324562
all_events,311,moisture_4in,post3_late_storage,163,2376,0.0,3.8803260549827923,3.2652634853185,-3.1620005595042024
all_events,311,moisture_4in,post3_mid_storage,154,3136,0.8756832738079352,1.0870398713816878,0.5856053395334665,-0.3112203045867448
all_events,315,moisture_4in,early_0_3h,40,477,0.9936905172309043,0.42542555452738035,0.27012875383667834,0.012997515457558067
all_events,315,moisture_4in,post3_late_storage,38,666,0.994784916049628,0.36508014584688697,0.2597142533067825,-0.004570642994522915
all_events,315,moisture_4in,post3_mid_storage,35,579,0.9839846649436421,0.6825624659954399,0.4672007891357911,0.0038554137805833014
all_events,335,moisture_12in,early_0_3h,19,210,0.9911222467460813,0.9102316029824601,0.653850686405065,-0.010292664212755332
all_events,335,moisture_12in,post3_late_storage,13,168,0.995493181910293,0.7480519777781263,0.439483760586934,0.04516986232828635
all_events,335,moisture_4in,early_0_3h,125,1366,-0.011775387825169509,6.03806319473907,4.631341281158205,-3.203300136713464
all_events,335,moisture_4in,post3_late_storage,98,1505,0.9355261587194648,1.9093093630178795,0.552926816357153,0.3011962583332824
all_events,335,moisture_4in,post3_mid_storage,76,1349,0.9817347968460005,0.9704848781113784,0.5109987395496327,0.08559619434618308
all_events,335,moisture_8in,early_0_3h,56,636,0.9895957370661415,1.0015650537599046,0.605435668814543,0.1628742397460739
all_events,335,moisture_8in,post3_late_storage,43,663,0.9987589096461359,0.38245197187712315,0.2901671388914107,-0.01994408975007596
all_events,335,moisture_8in,post3_mid_storage,34,558,0.9977750736807537,0.47005755695812756,0.34721357971059913,-0.03687545632693557
all_events,340,moisture_12in,early_0_3h,14,168,0.9695197799378682,0.4589615108557557,0.34947891216275506,0.0948993348924945
all_events,340,moisture_12in,post3_late_storage,14,629,0.977975000254529,0.36206942868987524,0.28270900204012955,-0.06748642634543806
all_events,340,moisture_12in,post3_mid_storage,14,464,0.8803216449253131,0.7480082498953139,0.5643198416359494,-0.263380135190666
all_events,340,moisture_16in,early_0_3h,17,181,0.8757682644790531,1.1719741219040303,0.7760550141209179,-0.14254245353305275
all_events,340,moisture_16in,post3_late_storage,14,691,0.970857651465207,0.49356754909865824,0.3400682625437468,-0.10832742281626363
all_events,340,moisture_16in,post3_mid_storage,14,511,0.909895594274964,0.840761328731088,0.5875604373607787,-0.20551410845185103
all_events,340,moisture_20in,early_0_3h,21,226,0.8059505058844741,1.8939300328674304,1.2734158931367197,-0.2610628568821905
