site_id,layer,segment,subset,main_subset,curve_rmse_to_main_mm,curve_mae_to_main_mm,curve_bias_to_main_mm,curve_max_abs_to_main_mm,overlap_min_h,overlap_max_h
125,moisture_4in,post3_mid_storage,all_events,clean_stageII_48h,4.219083872228495,3.6445420072952293,-3.6445420072952293,6.67439409930715,0.25,139.67126623376623
125,moisture_4in,post3_mid_storage,clean_48h,clean_stageII_48h,4.502777557501513,3.8428456030499976,-3.8428456030499976,8.314298436038376,0.25,114.76055194805195
125,moisture_4in,post3_mid_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,162.7477272727273
125,moisture_4in,post3_mid_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,162.7477272727273
125,moisture_4in,post3_mid_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,2.206583948679315,1.8873152334912038,-1.8872191490931287,3.9358509595381097,0.25,120.875
125,moisture_8in,early_0_3h,all_events,clean_stageII_48h,0.8235248762992721,0.5350830459489184,0.43777058177705264,3.722463444407863,0.125,58.52499999999999
125,moisture_8in,early_0_3h,clean_48h,clean_stageII_48h,0.9451725814468036,0.6602417960875808,0.4332614478689709,3.7012424073613683,0.125,58.52499999999999
125,moisture_8in,early_0_3h,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,58.52499999999999
125,moisture_8in,early_0_3h,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,58.52499999999999
125,moisture_8in,early_0_3h,clean_stageII_48h_site_balanced,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,58.52499999999999
125,moisture_8in,post3_late_storage,all_events,clean_stageII_48h,0.6717459921914744,0.5713863103005017,0.5600152287352769,1.2966359257773235,0.25,139.6
125,moisture_8in,post3_late_storage,clean_48h,clean_stageII_48h,0.7563705633152955,0.6452531774684556,0.6435508835995866,1.600788133859755,0.25,139.6
125,moisture_8in,post3_late_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,139.6
125,moisture_8in,post3_late_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,139.6
125,moisture_8in,post3_late_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,139.6
125,moisture_8in,post3_mid_storage,all_events,clean_stageII_48h,0.44780264278133824,0.29596488708624313,0.28860445468841617,2.064385667060483,0.25,111.54166666666666
125,moisture_8in,post3_mid_storage,clean_48h,clean_stageII_48h,0.33768021818466487,0.20013820647855232,0.19680214002669613,1.90117121685976,0.125,111.54166666666666
125,moisture_8in,post3_mid_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.125,111.54166666666666
