site_id,event_id,layer,t_h,moisture_mm,start_mm,end_mm,total_drop_mm,duration_h,event_storage_norm,segment,segment_t_h,csr_x_h,subset
275,S275_moisture_4in_0055,moisture_4in,1.25,14.4272,15.01648,9.530080000000002,5.486399999999998,29.0,0.8925925925925925,early_0_3h,1.25,2.3384740259740275,clean_stageII_48h
275,S275_moisture_4in_0055,moisture_4in,1.5,14.28496,15.01648,9.530080000000002,5.486399999999998,29.0,0.8666666666666667,early_0_3h,1.5,2.5884740259740275,clean_stageII_48h
275,S275_moisture_4in_0055,moisture_4in,1.75,14.18336,15.01648,9.530080000000002,5.486399999999998,29.0,0.8481481481481482,early_0_3h,1.75,2.8384740259740275,clean_stageII_48h
275,S275_moisture_4in_0055,moisture_4in,2.0,14.041120000000001,15.01648,9.530080000000002,5.486399999999998,29.0,0.8222222222222224,early_0_3h,2.0,3.0884740259740275,clean_stageII_48h
275,S275_moisture_4in_0055,moisture_4in,2.25,13.88872,15.01648,9.530080000000002,5.486399999999998,29.0,0.7944444444444443,early_0_3h,2.25,3.3384740259740275,clean_stageII_48h
275,S275_moisture_4in_0055,moisture_4in,2.5,13.73632,15.01648,9.530080000000002,5.486399999999998,29.0,0.7666666666666665,early_0_3h,2.5,3.5884740259740275,clean_stageII_48h
275,S275_moisture_4in_0055,moisture_4in,2.75,13.594080000000002,15.01648,9.530080000000002,5.486399999999998,29.0,0.740740740740741,early_0_3h,2.75,3.8384740259740275,clean_stageII_48h
275,S275_moisture_4in_0030,moisture_4in,0.0,14.34592,14.34592,12.16152,2.1843999999999983,6.25,1.0,early_0_3h,0.0,2.126984126984127,clean_stageII_48h
275,S275_moisture_4in_0030,moisture_4in,0.25,14.24432,14.34592,12.16152,2.1843999999999983,6.25,0.9534883720930243,early_0_3h,0.25,2.376984126984127,clean_stageII_48h
275,S275_moisture_4in_0030,moisture_4in,0.5,14.14272,14.34592,12.16152,2.1843999999999983,6.25,0.9069767441860478,early_0_3h,0.5,2.626984126984127,clean_stageII_48h
275,S275_moisture_4in_0030,moisture_4in,0.75,14.05128,14.34592,12.16152,2.1843999999999983,6.25,0.8651162790697684,early_0_3h,0.75,2.876984126984127,clean_stageII_48h
275,S275_moisture_4in_0030,moisture_4in,1.0,13.88872,14.34592,12.16152,2.1843999999999983,6.25,0.7906976744186052,early_0_3h,1.0,3.126984126984127,clean_stageII_48h
275,S275_moisture_4in_0030,moisture_4in,1.25,13.74648,14.34592,12.16152,2.1843999999999983,6.25,0.725581395348838,early_0_3h,1.25,3.376984126984127,clean_stageII_48h
275,S275_moisture_4in_0030,moisture_4in,1.5,13.583919999999999,14.34592,12.16152,2.1843999999999983,6.25,0.6511627906976748,early_0_3h,1.5,3.626984126984127,clean_stageII_48h
275,S275_moisture_4in_0030,moisture_4in,1.75,13.45184,14.34592,12.16152,2.1843999999999983,6.25,0.5906976744186057,early_0_3h,1.75,3.876984126984127,clean_stageII_48h
275,S275_moisture_4in_0030,moisture_4in,2.0,13.32992,14.34592,12.16152,2.1843999999999983,6.25,0.5348837209302331,early_0_3h,2.0,4.1269841269841265,clean_stageII_48h
275,S275_moisture_4in_0030,moisture_4in,2.25,13.18768,14.34592,12.16152,2.1843999999999983,6.25,0.4697674418604659,early_0_3h,2.25,4.3769841269841265,clean_stageII_48h
275,S275_moisture_4in_0030,moisture_4in,2.5,13.06576,14.34592,12.16152,2.1843999999999983,6.25,0.4139534883720932,early_0_3h,2.5,4.6269841269841265,clean_stageII_48h
