subset,site_id,layer,segment,events,points,ccc,rmse_mm,mae_mm,bias_mm,layer_label,segment_label,segment_short
clean_stageII_48h,311,moisture_4in,post3_mid_storage,72,1268,0.5820005724416947,1.5836676478069662,1.0909303603734524,-0.5945256175555562,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,311,moisture_4in,post3_late_storage,75,1143,0.9590030092723326,0.6392750942041141,0.2545136746988687,0.0509525886203882,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,315,moisture_4in,early_0_3h,28,336,0.9930127211560312,0.3889217284151022,0.2259756310497044,0.0301760959718373,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,315,moisture_4in,post3_mid_storage,26,389,0.9837704188133508,0.6217010295657766,0.4470047308201889,0.0144073030219302,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,315,moisture_4in,post3_late_storage,28,521,0.9926455334594524,0.3875121623009592,0.2402689333819389,-0.0064080713949871,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,335,moisture_4in,early_0_3h,50,593,0.9853327196469116,0.7846385380031288,0.4261704390107793,0.1208351909004737,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,335,moisture_4in,post3_mid_storage,43,741,0.995524318756892,0.417311095886387,0.3291335032315005,0.027078575634232,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,335,moisture_4in,post3_late_storage,51,845,0.9816554714214912,0.8779427131093784,0.3970412992558768,0.0307613071813965,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,340,moisture_4in,early_0_3h,24,288,0.9741467624852528,0.5973925876150104,0.3485161447986047,0.087074826100798,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,340,moisture_4in,post3_mid_storage,23,544,0.9929305788167332,0.2365039813209567,0.1754857930510885,0.0074000590887776,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,340,moisture_4in,post3_late_storage,24,512,0.987664877856154,0.2778794653583331,0.2087817308666293,0.0188519778826538,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,400,moisture_4in,early_0_3h,10,120,0.9928947120846048,0.1323854351524978,0.0941452915187805,0.0072962743483508,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,400,moisture_4in,post3_late_storage,10,161,0.975095701487689,0.226507772836776,0.1357808866321662,-0.0463743152696047,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,405,moisture_4in,early_0_3h,44,521,0.9272210096561064,0.8412273897031106,0.453768628662516,0.1499652731724623,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,405,moisture_4in,post3_mid_storage,29,306,0.9881897703164536,0.3088733886885566,0.2315758079689007,-0.0414880840124666,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,405,moisture_4in,post3_late_storage,44,610,0.9864054434420378,0.3110315930579856,0.2132504558219959,0.0132194157882421,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,420,moisture_4in,early_0_3h,71,852,0.916419853637037,1.4616963954779008,0.7536499946329527,0.4094488901841552,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,420,moisture_4in,post3_mid_storage,64,950,0.9916543629542702,0.4636177641769327,0.3354839067311758,-0.0160631525810058,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,420,moisture_4in,post3_late_storage,71,1158,0.9649794833370624,0.890276654267191,0.3622582054630443,0.0747902019713842,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,425,moisture_4in,early_0_3h,9,108,0.9886555754267518,0.3442163902111447,0.2465621218459606,-0.0513636462016507,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,425,moisture_4in,post3_mid_storage,9,114,0.9891063048462578,0.3556685212999996,0.2772586738373426,0.0225951759789772,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,425,moisture_4in,post3_late_storage,9,139,0.9934431989276176,0.2811765776516577,0.1732917645929013,-0.0044747889162338,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,430,moisture_4in,early_0_3h,44,528,0.9799513646625082,0.7151676317889224,0.4487967699233733,0.0544310834967033,4 in,"Early transient, 0-3 h",Early
