site_id,layer,detected_events,associated_48h_events,clean_48h_events,clean_stageII_48h_events,stageII_like_events,fitted_segments,fitted_segment_names,min_segment_events,median_segment_events,total_segment_points,median_local_rmse_mm,median_local_mae_mm,support_class,csr_status,layer_label
303,moisture_4in,261,194,129,59,103,3,"early_0_3h,post3_mid_storage,post3_late_storage",49,59.0,3489,0.8123803857828251,0.6144182691383612,strong,complete,4 in
303,moisture_8in,125,86,43,18,41,3,"early_0_3h,post3_mid_storage,post3_late_storage",16,18.0,1351,0.9472133287554112,0.6392922322638707,eligible,complete,8 in
303,moisture_12in,45,44,22,5,15,0,,0,,0,,,insufficient,not fitted,12 in
303,moisture_16in,13,13,4,2,8,0,,0,,0,,,insufficient,not fitted,16 in
303,moisture_20in,3,3,0,0,2,0,,0,,0,,,none,not fitted,20 in
304,moisture_4in,1,1,1,1,1,0,,0,,0,,,insufficient,not fitted,4 in
304,moisture_8in,0,0,0,0,0,0,,0,,0,,,none,not fitted,8 in
304,moisture_12in,0,0,0,0,0,0,,0,,0,,,none,not fitted,12 in
304,moisture_16in,0,0,0,0,0,0,,0,,0,,,none,not fitted,16 in
304,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
311,moisture_4in,172,137,115,75,121,3,"early_0_3h,post3_mid_storage,post3_late_storage",72,75.0,3311,0.6392750942041141,0.3442873338484362,strong,complete,4 in
311,moisture_8in,5,5,4,3,4,0,,0,,0,,,insufficient,not fitted,8 in
311,moisture_12in,2,0,0,0,0,0,,0,,0,,,none,not fitted,12 in
311,moisture_16in,2,0,0,0,0,0,,0,,0,,,none,not fitted,16 in
311,moisture_20in,4,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
315,moisture_4in,40,36,33,28,35,3,"early_0_3h,post3_mid_storage,post3_late_storage",26,28.0,1246,0.3889217284151022,0.2402689333819389,eligible,complete,4 in
315,moisture_8in,3,0,0,0,3,0,,0,,0,,,none,not fitted,8 in
315,moisture_12in,1,1,1,0,0,0,,0,,0,,,none,not fitted,12 in
315,moisture_16in,1,1,1,0,0,0,,0,,0,,,none,not fitted,16 in
315,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
320,moisture_4in,7,7,5,3,3,0,,0,,0,,,insufficient,not fitted,4 in
320,moisture_8in,0,0,0,0,0,0,,0,,0,,,none,not fitted,8 in
320,moisture_12in,0,0,0,0,0,0,,0,,0,,,none,not fitted,12 in
320,moisture_16in,0,0,0,0,0,0,,0,,0,,,none,not fitted,16 in
320,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
335,moisture_4in,128,109,76,51,80,3,"early_0_3h,post3_mid_storage,post3_late_storage",43,50.0,2179,0.7846385380031288,0.3970412992558768,strong,complete,4 in
335,moisture_8in,56,38,17,12,30,3,"early_0_3h,post3_mid_storage,post3_late_storage",11,12.0,554,0.5775900952737582,0.4036615954537956,eligible,complete,8 in
335,moisture_12in,19,15,5,2,9,0,,0,,0,,,insufficient,not fitted,12 in
335,moisture_16in,7,7,0,0,2,0,,0,,0,,,none,not fitted,16 in
335,moisture_20in,6,3,1,1,2,0,,0,,0,,,insufficient,not fitted,20 in
340,moisture_4in,74,68,50,25,35,3,"early_0_3h,post3_mid_storage,post3_late_storage",23,24.0,1344,0.2778794653583331,0.2087817308666293,eligible,complete,4 in
340,moisture_8in,22,22,5,5,20,0,,0,,0,,,insufficient,not fitted,8 in
340,moisture_12in,14,14,5,5,14,0,,0,,0,,,insufficient,not fitted,12 in
340,moisture_16in,17,17,7,4,12,0,,0,,0,,,insufficient,not fitted,16 in
340,moisture_20in,21,21,9,5,11,0,,0,,0,,,insufficient,not fitted,20 in
380,moisture_4in,4,4,4,1,1,0,,0,,0,,,insufficient,not fitted,4 in
380,moisture_8in,1,1,1,1,1,0,,0,,0,,,insufficient,not fitted,8 in
380,moisture_12in,2,0,0,0,2,0,,0,,0,,,none,not fitted,12 in
380,moisture_16in,3,3,3,3,3,0,,0,,0,,,insufficient,not fitted,16 in
380,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
395,moisture_4in,11,11,10,6,7,0,,0,,0,,,insufficient,not fitted,4 in
395,moisture_8in,0,0,0,0,0,0,,0,,0,,,none,not fitted,8 in
395,moisture_12in,0,0,0,0,0,0,,0,,0,,,none,not fitted,12 in
395,moisture_16in,0,0,0,0,0,0,,0,,0,,,none,not fitted,16 in
395,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
400,moisture_4in,27,27,24,10,10,2,"early_0_3h,post3_late_storage",10,10.0,281,0.1794466039946369,0.11496308907547334,eligible,partial,4 in
400,moisture_8in,0,0,0,0,0,0,,0,,0,,,none,not fitted,8 in
400,moisture_12in,0,0,0,0,0,0,,0,,0,,,none,not fitted,12 in
400,moisture_16in,1,1,1,1,1,0,,0,,0,,,insufficient,not fitted,16 in
400,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
405,moisture_4in,555,431,389,44,63,3,"early_0_3h,post3_mid_storage,post3_late_storage",29,44.0,1437,0.3110315930579856,0.2315758079689007,strong,complete,4 in
405,moisture_8in,152,119,96,21,39,3,"early_0_3h,post3_mid_storage,post3_late_storage",18,21.0,830,0.4692182794696357,0.3634270959827084,eligible,complete,8 in
405,moisture_12in,293,222,203,26,46,3,"early_0_3h,post3_mid_storage,post3_late_storage",21,25.0,1059,0.6221681285397745,0.4602973838055753,eligible,complete,12 in
405,moisture_16in,430,304,286,13,30,3,"early_0_3h,post3_mid_storage,post3_late_storage",9,13.0,407,1.1019834063916412,0.8909879219645208,eligible,complete,16 in
405,moisture_20in,402,166,160,3,6,0,,0,,0,,,insufficient,not fitted,20 in
415,moisture_4in,12,12,10,5,5,0,,0,,0,,,insufficient,not fitted,4 in
415,moisture_8in,8,8,3,0,0,0,,0,,0,,,none,not fitted,8 in
415,moisture_12in,0,0,0,0,0,0,,0,,0,,,none,not fitted,12 in
415,moisture_16in,0,0,0,0,0,0,,0,,0,,,none,not fitted,16 in
415,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
420,moisture_4in,160,133,87,71,118,3,"early_0_3h,post3_mid_storage,post3_late_storage",64,71.0,2960,0.890276654267191,0.3622582054630443,strong,complete,4 in
420,moisture_8in,22,22,3,1,13,0,,0,,0,,,insufficient,not fitted,8 in
420,moisture_12in,12,12,0,0,6,0,,0,,0,,,none,not fitted,12 in
420,moisture_16in,9,9,0,0,4,0,,0,,0,,,none,not fitted,16 in
