site_id,layer,events,associated_24h_rate,associated_48h_rate,interrupted_rate,median_duration_h,median_drop_mm,median_trim3_r2,median_trim3_tau_h,median_early3_drop_share,stageII_like_rate,stageI_like_rate,early_transient_heavy_rate,during_vpd_mean,clean_24h_rate,clean_48h_rate,stageII_clean_48h_rate
121,moisture_12in,7,0.2857142857142857,0.42857142857142855,0.0,6.0,1.2120879999999996,0.9924650345362713,4.9983523964235745,0.3458844133099818,0.5714285714285714,0.2857142857142857,0.14285714285714285,1.67584158008658,0.2857142857142857,0.42857142857142855,0.2857142857142857
121,moisture_16in,4,0.25,0.25,0.0,8.125,1.658112,0.9965140691461298,5.847195323562858,0.37806646367396285,0.75,0.0,0.25,1.6946692708333333,0.25,0.25,0.0
121,moisture_4in,25,0.8,1.0,0.32,12.0,2.1843999999999983,0.9932224426722479,7.54579254418812,0.34420289855072445,0.68,0.2,0.08,0.8950055890812959,0.48,0.68,0.52
121,moisture_8in,5,0.0,0.6,0.0,9.0,1.7383759999999997,0.9900597580505227,9.214677734493513,0.18651362984218103,0.6,0.2,0.0,1.608886671375208,0.0,0.6,0.4
125,moisture_12in,31,0.8064516129032258,0.9354838709677419,0.03225806451612903,8.0,2.9971999999999994,0.9961878527740793,4.603181743431693,0.6074380165289253,0.7741935483870968,0.0967741935483871,0.12903225806451613,0.45015986734276414,0.7741935483870968,0.9032258064516129,0.7096774193548387
125,moisture_16in,36,0.9722222222222222,1.0,0.1388888888888889,6.0,3.530599999999998,0.9947182133717541,1.643223423277251,0.8053334600295925,0.7222222222222222,0.027777777777777776,0.25,0.4548302764447956,0.8333333333333334,0.8611111111111112,0.6666666666666666
125,moisture_20in,51,0.9019607843137255,1.0,0.13725490196078433,4.75,1.9202399999999997,0.9873260927427243,1.6918254629107927,0.8941798941798929,0.6078431372549019,0.0,0.37254901960784315,0.5108146287187044,0.7647058823529411,0.8627450980392157,0.6078431372549019
125,moisture_4in,137,0.6423357664233577,0.8394160583941606,0.08029197080291971,10.5,2.1132799999999996,0.994597312579935,7.94983262171286,0.2584269662921345,0.7299270072992701,0.08029197080291971,0.13138686131386862,1.0162284583300096,0.5620437956204379,0.7591240875912408,0.5328467153284672
125,moisture_8in,46,0.782608695652174,0.8695652173913043,0.043478260869565216,6.5,1.7526000000000002,0.9975064875960343,7.361553622440644,0.5668845315904139,0.5652173913043478,0.06521739130434782,0.3695652173913043,0.5976389794834196,0.7391304347826086,0.8260869565217391,0.4782608695652174
130,moisture_12in,2,1.0,1.0,0.5,9.625,2.3215600000000007,0.998765697853673,5.790803079701751,0.6151282352021271,1.0,0.0,0.0,0.1750737639553429,0.5,0.5,0.5
130,moisture_16in,1,1.0,1.0,0.0,4.0,0.802640000000002,,,0.784810126582279,0.0,0.0,1.0,0.17423529411764707,1.0,1.0,0.0
130,moisture_4in,101,0.5445544554455446,0.693069306930693,0.15841584158415842,7.5,1.4223999999999979,0.995586060312358,5.311794373989641,0.4384615384615375,0.7425742574257426,0.07920792079207921,0.16831683168316833,1.2166847446043803,0.39603960396039606,0.5445544554455446,0.40594059405940597
130,moisture_8in,6,0.6666666666666666,0.6666666666666666,0.5,5.375,1.142999999999999,0.9978253905271292,5.149591458778588,0.7009803921568636,0.8333333333333334,0.0,0.16666666666666666,0.8259548697048698,0.16666666666666666,0.16666666666666666,0.16666666666666666
140,moisture_12in,12,1.0,1.0,0.3333333333333333,2.75,0.7467600000000019,0.9694753121356743,1.6830607038424543,1.0,0.25,0.0,0.75,0.14412875657564683,0.6666666666666666,0.6666666666666666,0.08333333333333333
140,moisture_16in,3,1.0,1.0,0.6666666666666666,2.0,0.6400799999999975,,,1.0,0.0,0.0,1.0,0.011903846153846154,0.3333333333333333,0.3333333333333333,0.0
140,moisture_4in,251,0.47410358565737054,0.6613545816733067,0.1553784860557769,7.5,1.5341600000000035,0.9945257622917734,5.927829122761489,0.4935064935064964,0.5976095617529881,0.07569721115537849,0.3107569721115538,1.1498456096785408,0.3346613545816733,0.5179282868525896,0.26693227091633465
140,moisture_8in,44,0.7727272727272727,0.7954545454545454,0.20454545454545456,5.5,1.2191999999999972,0.9842232129585328,5.808561618704137,0.651733864277418,0.4090909090909091,0.045454545454545456,0.45454545454545453,0.9254403705721086,0.5681818181818182,0.5909090909090909,0.20454545454545456
150,moisture_12in,2,0.5,1.0,0.5,10.875,2.6380440000000003,0.6187857333447497,11.227954449630065,0.240199723402039,0.5,0.0,0.0,0.5005085638998682,0.0,0.5,0.0
150,moisture_16in,1,1.0,1.0,0.0,1.25,0.5679439999999998,,,1.0,0.0,0.0,1.0,0.3793333333333333,1.0,1.0,0.0
150,moisture_4in,41,0.6829268292682927,0.8292682926829268,0.14634146341463414,11.0,1.9100800000000007,0.9917948342427172,7.275362848770298,0.378048780487805,0.6585365853658537,0.12195121951219512,0.04878048780487805,0.8671841449262929,0.6097560975609756,0.7317073170731707,0.4634146341463415
150,moisture_8in,1,1.0,1.0,0.0,14.5,2.7360880000000005,0.9993761936282063,6.101961730561251,0.31934645376903104,1.0,0.0,0.0,0.6510169491525425,1.0,1.0,1.0
160,moisture_12in,12,0.5,0.6666666666666666,0.08333333333333333,2.25,0.5735319999999997,0.9730634487125067,1.91343021393214,1.0,0.16666666666666666,0.0,0.8333333333333334,1.1237339962121211,0.4166666666666667,0.5833333333333334,0.08333333333333333
160,moisture_16in,3,1.0,1.0,0.3333333333333333,3.0,0.5486400000000007,0.9978498562362155,3.463555054392779,1.0,0.3333333333333333,0.0,0.6666666666666666,0.17050229419703103,0.6666666666666666,0.6666666666666666,0.3333333333333333
160,moisture_4in,210,0.5428571428571428,0.6428571428571429,0.09523809523809523,7.875,1.5646399999999971,0.9946945244119211,5.405780295614251,0.37332519305656403,0.7619047619047619,0.06190476190476191,0.1619047619047619,1.1213260687842994,0.44761904761904764,0.5476190476190477,0.38571428571428573
160,moisture_8in,34,0.6470588235294118,0.7352941176470589,0.4411764705882353,5.5,1.184148,0.9967881663630995,5.641253530641557,0.7555998008959682,0.5294117647058824,0.0,0.47058823529411764,0.9633757074940777,0.29411764705882354,0.35294117647058826,0.14705882352941177
170,moisture_4in,156,0.7884615384615384,0.9551282051282052,0.03205128205128205,8.25,1.6398239999999995,0.9950343515396376,5.380281140921557,0.3900380010577381,0.6666666666666666,0.09615384615384616,0.15384615384615385,0.6785457973368683,0.7564102564102564,0.9230769230769231,0.6217948717948718
170,moisture_8in,3,1.0,1.0,0.6666666666666666,7.25,1.3106400000000011,0.9975778060073104,5.838183732934882,0.5891472868217059,0.6666666666666666,0.0,0.3333333333333333,0.4414236227824464,0.3333333333333333,0.3333333333333333,0.3333333333333333
190,moisture_12in,1,1.0,1.0,0.0,778.75,2.1457919999999997,0.9677046380155763,14.981894407729516,0.0023674242424240235,0.0,0.0,0.0,1.5976923076923077,1.0,1.0,0.0
190,moisture_4in,11,1.0,1.0,0.36363636363636365,5.5,1.0789919999999995,0.9970780621374133,2.9285461122212944,0.7224669603524229,0.5454545454545454,0.0,0.36363636363636365,0.516584274960757,0.6363636363636364,0.6363636363636364,0.36363636363636365
190,moisture_8in,4,1.0,1.0,0.75,2.75,0.8646159999999998,0.9907142092709156,2.139613561608835,1.0,0.0,0.0,0.75,0.5414338324718758,0.25,0.25,0.0
230,moisture_4in,34,0.9117647058823529,0.9705882352941176,0.17647058823529413,9.5,1.6454119999999999,0.9950110045694093,5.763491430619238,0.4127580898472766,0.6176470588235294,0.11764705882352941,0.23529411764705882,1.0397554538757712,0.7352941176470589,0.7941176470588235,0.5588235294117647
230,moisture_8in,1,1.0,1.0,1.0,4.0,1.1074400000000004,,,0.8073394495412847,0.0,0.0,1.0,1.2025882352941177,0.0,0.0,0.0
240,moisture_4in,16,1.0,1.0,0.75,3.875,1.1704320000000001,0.9913127934870759,3.2637167615595772,0.9549924246126776,0.4375,0.0,0.5625,0.1872390604627552,0.25,0.25,0.1875
240,moisture_8in,3,1.0,1.0,0.6666666666666666,4.5,0.84328,0.9707218638300932,2.2559353617952436,0.9640211640211637,0.3333333333333333,0.0,0.6666666666666666,0.11142988590357011,0.3333333333333333,0.3333333333333333,0.0
