layer,regime_proxy,storage_bin,storage_norm,loss_mm_h_median,loss_mm_h_q25,loss_mm_h_q75,points
moisture_12in,mixed_or_uncertain,"(0.4, 0.467]",0.4349752109368721,0.24383999999999872,0.20319999999999538,0.2946400000000047,24
moisture_12in,mixed_or_uncertain,"(0.467, 0.533]",0.5028641524886747,0.24383999999999162,0.1320800000000002,0.26416000000001105,23
moisture_12in,mixed_or_uncertain,"(0.533, 0.6]",0.5644919250752554,0.2032000000000096,0.16255999999999915,0.3251200000000125,21
moisture_12in,mixed_or_uncertain,"(0.6, 0.667]",0.6349432944707708,0.16255999999999915,0.12191999999999226,0.20320000000000782,30
moisture_12in,mixed_or_uncertain,"(0.667, 0.733]",0.7024032219853736,0.16255999999999915,0.1219199999999887,0.2032000000000096,31
moisture_12in,mixed_or_uncertain,"(0.733, 0.8]",0.7650391708288761,0.16255999999999915,0.1381759999999952,0.26416000000000395,26
moisture_12in,mixed_or_uncertain,"(0.8, 0.867]",0.8340469557107604,0.16256000000001336,0.1625599999999956,0.2235200000000006,28
moisture_12in,mixed_or_uncertain,"(0.867, 0.933]",0.9020845304653512,0.14224000000000103,0.12192000000000291,0.2032000000000096,37
moisture_12in,mixed_or_uncertain,"(0.933, 1.0]",0.9717530640708122,0.1219199999999887,0.048767999999999034,0.16256000000000626,39
moisture_12in,stage-I-like,"(-0.001, 0.0667]",0.03280930542413674,0.16256000000001336,0.12191999999999581,0.28448000000000206,75
moisture_12in,stage-I-like,"(0.0667, 0.133]",0.09920918759151995,0.2032000000000025,0.12192000000001002,0.2905759999999997,67
moisture_12in,stage-I-like,"(0.133, 0.2]",0.16621936431267945,0.2032000000000096,0.16255999999999915,0.2966720000000027,67
moisture_12in,stage-I-like,"(0.2, 0.267]",0.23439042055868048,0.2032000000000096,0.16255999999999915,0.28448000000000206,65
moisture_12in,stage-I-like,"(0.267, 0.333]",0.2995488551261545,0.24384000000000228,0.16256000000000448,0.2946400000000011,60
moisture_12in,stage-I-like,"(0.333, 0.4]",0.3682989492852355,0.24383999999999162,0.16255999999999915,0.28448000000000206,68
moisture_12in,stage-I-like,"(0.4, 0.467]",0.4342054298964728,0.24383999999999517,0.12192000000000291,0.3251199999999965,62
moisture_12in,stage-I-like,"(0.467, 0.533]",0.499018486835737,0.2032000000000025,0.16255999999999915,0.3251199999999983,62
moisture_12in,stage-I-like,"(0.533, 0.6]",0.5674919567595685,0.24384000000000228,0.1666240000000041,0.3251199999999983,62
moisture_12in,stage-I-like,"(0.6, 0.667]",0.6337469400263281,0.24384000000000583,0.1625600000000027,0.36576000000000697,54
moisture_12in,stage-I-like,"(0.667, 0.733]",0.7007965075985386,0.2722879999999943,0.16560800000000242,0.36575999999999453,56
moisture_12in,stage-I-like,"(0.733, 0.8]",0.7691155533114844,0.2032000000000096,0.16255999999999915,0.28448000000000206,57
moisture_12in,stage-I-like,"(0.8, 0.867]",0.8335913189661797,0.2032000000000025,0.16255999999999204,0.28448000000000206,59
moisture_12in,stage-I-like,"(0.867, 0.933]",0.8992989710158283,0.20319999999999538,0.13817599999999786,0.28448000000000206,65
moisture_12in,stage-I-like,"(0.933, 1.0]",0.9693795473992209,0.16255999999999915,0.11582399999999282,0.24384000000000583,79
moisture_12in,stage-II-like,"(-0.001, 0.0667]",0.029975530145977862,0.08127999999999957,0.04064000000000334,0.12192000000000291,1948
moisture_12in,stage-II-like,"(0.0667, 0.133]",0.09844829014766915,0.12191999999999581,0.08127999999999957,0.16256000000000626,1273
moisture_12in,stage-II-like,"(0.133, 0.2]",0.16530458306961401,0.16255999999999204,0.10972799999999783,0.2032000000000096,986
moisture_12in,stage-II-like,"(0.2, 0.267]",0.23196606446495535,0.1767839999999996,0.12192000000000291,0.28448000000000206,792
moisture_12in,stage-II-like,"(0.267, 0.333]",0.2986902911021516,0.2032000000000096,0.16255999999999915,0.3251200000000054,650
moisture_12in,stage-II-like,"(0.333, 0.4]",0.3660375770436843,0.2722880000000032,0.20319999999999538,0.4064000000000014,555
moisture_12in,stage-II-like,"(0.4, 0.467]",0.4331527260789077,0.28448000000000206,0.2032000000000096,0.4470400000000083,479
moisture_12in,stage-II-like,"(0.467, 0.533]",0.49972295928932536,0.3251200000000054,0.24383999999999872,0.5283199999999937,421
moisture_12in,stage-II-like,"(0.533, 0.6]",0.5666630096809472,0.36576000000000874,0.274320000000003,0.5689600000000041,370
moisture_12in,stage-II-like,"(0.6, 0.667]",0.6336957634691958,0.406400000000005,0.28448000000000206,0.6319519999999947,351
moisture_12in,stage-II-like,"(0.667, 0.733]",0.7002866509245631,0.406400000000005,0.24384000000000583,0.6096000000000146,318
moisture_12in,stage-II-like,"(0.733, 0.8]",0.7656597540833835,0.4470399999999941,0.24790399999999835,0.7315199999999891,317
moisture_12in,stage-II-like,"(0.8, 0.867]",0.8332479253247178,0.40639999999999077,0.24383999999999162,0.6908799999999964,315
