ID,year,first_utc,last_utc,rows_n_soil,moisture_4_n,moisture_8_n,moisture_12_n,moisture_16_n,moisture_20_n,rows_n_wx,rain_2m_inches_n,rain_total_inches
315,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35128,0,35128,35128,35128,35128,35030,35030,67.23999986052513
315,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35030,0,35030,35030,35030,35030,35030,35030,38.28999980725348
320,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,47.01999985426664
320,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35036,35036,62.599999660626054
320,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,34249,24566,34249,34249,34249,34249,34249,34249,46.98999963700771
335,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34967,29335,34967,34967,34967,34967,34967,34967,45.04999980330467
335,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35036,35036,51.05999970622361
335,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,41.0399999152869
340,2023,2023-05-02 20:15:00,2023-12-31 23:45:00,23343,17645,23343,23343,23343,23343,35022,35022,44.83999979868531
340,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35120,29736,35118,35120,35120,35120,35024,35024,46.969999834895134
340,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,4683,35035,35035,35035,35035,35035,35035,51.5899997279048
380,2023,2023-05-03 20:45:00,2023-12-31 23:45:00,23244,23226,23244,23244,23244,23244,34182,34182,39.97999985516071
380,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35000,35000,49.31999975442886
380,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35035,35035,35035,31.079999865964055
395,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35032,30084,35032,35032,35032,35032,35028,35028,46.899999694898725
395,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35035,35035,35035,35035,35035,35035,35035,35035,49.669999750331044
395,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,34937,34936,34937,34937,34937,34937,34937,34937,52.03999977745116
